,UID,PID,PURCHASE_Time
0,319,8099,2014-04-18
1,9816,8099,2013-09-6
2,10232,8099,2013-12-8
3,3222,8099,2013-10-19
4,1449,8099,2013-08-16
5,14999,8099,2013-09-4
6,2238,4443,2013-12-27
7,21974,4443,2014-05-20
8,11785,4443,2014-02-18
9,15019,4443,2014-01-23
10,19222,4443,2014-01-11
11,4771,4443,2014-02-18
12,22257,4443,2013-09-14
13,22073,4443,2013-10-18
14,17614,4443,2013-11-1
15,13144,8978,2013-08-10
16,15301,8978,2011-11-28
17,8552,8978,2013-02-2
18,4840,10452,2014-02-2
19,21083,10452,2014-02-14
20,11964,10452,2014-02-12
21,22249,656,2009-10-13
22,17419,656,2014-06-8
23,14426,1458,2013-04-12
24,1835,1458,2013-01-21
25,8453,1458,2014-03-22
26,10940,1458,2014-04-7
27,8435,1458,2013-11-23
28,11850,1458,2013-07-14
29,14525,1458,2012-08-12
30,13484,1458,2013-01-7
31,11121,1458,2012-05-25
32,13673,1458,2012-12-25
33,10888,1458,2011-03-14
34,12594,1458,2013-06-8
35,7562,1458,2013-12-3
36,18340,1458,2013-09-6
37,5403,1458,2012-07-9
38,20701,1458,2011-02-1
39,3758,11599,2013-07-15
40,7936,11599,2011-01-2
41,9204,11599,2011-01-26
42,6738,11599,2014-06-19
43,14580,11599,2014-05-3
44,22176,11599,2013-03-7
45,11187,11599,2014-01-5
46,3745,11599,2013-10-23
47,22359,11599,2014-05-22
48,17808,11599,2006-09-21
49,21558,11599,2014-04-26
50,11734,11599,2013-11-6
51,15558,11599,2014-06-19
52,16718,11599,2011-11-13
53,16867,11599,2013-09-12
54,5823,11599,2014-05-22
55,10002,11599,2013-11-27
56,3523,11595,2014-06-21
57,12771,11595,2013-09-10
58,6120,11595,2012-08-6
59,18652,11595,2013-01-6
60,6158,6475,2012-04-6
61,9994,6475,2013-12-5
62,697,6475,2013-12-4
63,10436,6475,2013-11-2
64,7160,6475,2014-01-1
65,6215,6475,2012-02-6
66,3500,6475,2013-03-22
67,15501,6475,2012-12-29
68,3767,6475,2013-02-14
69,17057,6475,2013-07-19
70,2965,631,2014-06-13
71,11970,631,2014-01-13
72,6215,631,2014-04-12
73,3186,631,2013-06-2
74,3395,631,2014-05-5
75,19371,631,2012-10-28
76,16544,7594,2013-08-14
77,3416,7594,2013-04-11
78,15546,7594,2014-02-3
79,228,7594,2014-03-22
80,8704,7594,2013-09-26
81,21532,7594,2012-12-15
82,10251,7594,2011-03-23
83,17078,7594,2013-06-4
84,19548,7594,2013-12-28
85,15080,7594,2009-10-12
86,3265,7594,2014-05-16
87,16575,7594,2012-11-2
88,7942,7594,2012-12-23
89,7230,7594,2013-12-26
90,9588,7594,2010-05-13
91,582,7594,2013-11-25
92,434,7594,2012-01-31
93,17494,7594,2012-03-27
94,6507,7594,2014-01-19
95,16473,7594,2014-04-30
96,5463,7594,2014-05-7
97,8894,7594,2013-10-22
98,1501,7594,2013-08-29
99,11601,7594,2013-07-4
100,10351,7594,2013-08-18
101,7798,7594,2013-11-14
102,7980,7594,2013-02-22
103,15979,7594,2013-02-1
104,14389,7594,2012-08-27
105,9372,7594,2013-01-23
106,15376,7594,2013-07-15
107,14539,7594,2014-01-26
108,21392,7594,2014-02-8
109,21866,7594,2012-12-9
110,741,7594,2011-10-10
111,17885,795,2013-09-30
112,19878,795,2013-12-22
113,18291,795,2013-06-15
114,5936,791,2012-01-27
115,4015,791,2013-07-9
116,7697,791,2013-08-8
117,2573,791,2013-02-7
118,14969,791,2013-12-12
119,4318,791,2012-06-18
120,16481,791,2013-04-4
121,21275,791,2014-01-27
122,17345,791,2012-09-21
123,11088,791,2012-09-13
124,6031,791,2012-08-1
125,22295,791,2014-05-5
126,12513,791,2012-12-29
127,1207,791,2013-01-15
128,10106,791,2012-12-13
129,2654,791,2013-01-30
130,7952,791,2013-11-18
131,21177,791,2013-08-21
132,7660,791,2013-06-17
133,17097,791,2014-05-7
134,10305,791,2013-11-4
135,3718,791,2014-06-27
136,6783,791,2010-11-30
137,20706,791,2013-11-18
138,9985,791,2013-02-21
139,19815,791,2013-04-30
140,18984,791,2013-05-27
141,14701,791,2013-01-18
142,3529,791,2014-03-2
143,9649,791,2012-10-4
144,1327,791,2014-03-8
145,9003,791,2014-02-15
146,19053,791,2013-12-22
147,9645,791,2012-12-25
148,17893,791,2011-07-6
149,5372,788,2011-06-19
150,4576,788,2013-07-11
151,11260,788,2013-09-7
152,1242,788,2014-05-31
153,3760,788,2013-11-14
154,3249,788,2013-01-16
155,4593,788,2013-08-26
156,1463,788,2014-02-19
157,2604,788,2014-07-3
158,5187,788,2013-10-4
159,10996,788,2014-04-18
160,6310,788,2013-06-25
161,5889,788,2013-08-12
162,5445,788,2013-10-1
163,21381,788,2013-11-19
164,7210,788,2013-01-1
165,12938,788,2014-04-9
166,16176,786,2013-05-29
167,7468,786,2014-06-20
168,17183,786,2014-01-14
169,5479,786,2014-04-27
170,4512,786,2014-03-14
171,16118,786,2014-07-5
172,13808,786,2013-04-25
173,3960,786,2010-12-15
174,21357,786,2012-01-28
175,11473,786,2012-12-24
176,11093,786,2013-02-2
177,5672,786,2014-05-11
178,10106,786,2011-09-18
179,10118,786,2012-12-15
180,2961,786,2014-06-21
181,22014,786,2013-08-22
182,15996,786,2013-10-2
183,16738,786,2013-01-6
184,6182,786,2013-10-23
185,13752,786,2014-03-9
186,20405,786,2013-06-27
187,19531,786,2014-02-5
188,16393,786,2014-03-24
189,18287,786,2013-01-19
190,3220,786,2013-10-28
191,7272,786,2012-12-29
192,20138,47,2012-03-25
193,9516,47,2009-03-16
194,6964,47,2014-07-9
195,17393,47,2013-07-5
196,13467,5044,2014-02-19
197,977,5044,2012-06-5
198,2003,5044,2013-01-17
199,17998,5044,2013-04-24
200,9391,5044,2012-11-10
201,12086,5044,2010-12-24
202,8867,10582,2013-05-18
203,22103,10582,2014-03-11
204,15597,10582,2014-04-6
205,7004,10582,2013-03-4
206,6675,10582,2009-09-20
207,20751,10582,2013-02-6
208,6082,10582,2013-09-20
209,532,10582,2013-07-27
210,2249,10582,2011-08-23
211,16896,10582,2014-02-27
212,16176,8429,2013-03-10
213,561,8429,2013-12-10
214,15960,8429,2012-10-30
215,2524,8429,2009-04-3
216,19627,2176,2013-01-5
217,898,2176,2011-06-13
218,9604,2176,2013-10-22
219,4256,2176,2012-10-18
220,643,2176,2014-05-21
221,7330,2176,2014-06-21
222,3559,2176,2014-01-29
223,8609,2176,2012-07-3
224,169,2176,2013-11-3
225,5053,2176,2013-09-16
226,18278,2176,2013-10-17
227,19214,2176,2013-11-5
228,17217,2176,2014-03-18
229,3919,2176,2013-02-3
230,15283,2176,2012-08-15
231,21254,2176,2014-03-14
232,14146,2176,2013-01-2
233,7593,2176,2012-08-7
234,19878,2176,2013-02-22
235,12049,2176,2013-04-7
236,20239,2176,2013-08-12
237,9702,2176,2013-04-23
238,4385,2176,2014-03-17
239,14908,2176,2010-11-23
240,21418,2176,2012-02-22
241,1450,2176,2011-12-7
242,2535,2176,2003-12-17
243,752,2176,2013-01-16
244,8937,2176,2014-05-22
245,7656,2171,2012-04-29
246,19575,2171,2013-08-3
247,22306,2171,2013-12-27
248,19214,2171,2013-11-5
249,4009,2171,2013-01-14
250,576,2171,2013-05-19
251,6859,2171,2013-03-12
252,6215,2171,2014-06-23
253,19854,2171,2013-03-6
254,2279,2171,2013-04-12
255,20521,2171,2013-01-7
256,21418,2171,2012-08-2
257,14306,2171,2011-08-9
258,13511,2171,2014-03-26
259,14399,9678,2010-11-6
260,19325,9678,2013-03-29
261,8023,9678,2014-03-1
262,2524,9678,2009-04-3
263,21991,11895,2013-03-18
264,14867,11895,2011-08-17
265,5445,11895,2003-05-11
266,7631,221,2013-06-27
267,9234,221,2012-07-21
268,9643,221,2012-09-24
269,18105,221,2012-11-17
270,4624,221,2012-11-14
271,13536,221,2013-10-6
272,15603,6506,2009-07-21
273,17773,6506,2013-04-14
274,16542,6506,2014-05-13
275,9478,6506,2012-10-4
276,5835,6506,2013-10-9
277,4459,5729,2013-02-18
278,15653,5729,2014-01-31
279,1040,5729,2013-09-29
