,UID,PID,PURCHASE_Time
0,4278,4651,2014-01-14
1,12550,4651,2014-06-26
2,21407,4651,2013-10-21
3,24053,4651,2013-10-12
4,2762,4651,2013-08-22
5,17759,8099,2013-11-21
6,27518,8099,2013-09-25
7,7441,8099,2014-04-3
8,26377,8099,2014-04-13
9,24270,8099,2013-12-5
10,10409,8099,2013-09-27
11,10342,8099,2014-02-21
12,2178,8099,2013-08-25
13,10493,10203,2013-05-11
14,12532,10203,2012-09-19
15,9034,10203,2013-05-29
16,14369,10203,2014-06-6
17,13059,10203,2013-11-29
18,2942,10203,2014-06-8
19,23991,10203,2014-01-11
20,23433,10203,2013-09-21
21,12056,10203,2013-03-20
22,15228,10203,2014-07-3
23,8758,10203,2013-02-7
24,12039,10203,2013-11-10
25,23195,10203,2014-04-29
26,18518,10203,2013-10-15
27,26988,10203,2014-04-13
28,22098,10203,2013-08-2
29,12465,10203,2012-11-29
30,13400,10203,2012-05-5
31,21004,10203,2013-02-1
32,15894,10203,2014-01-26
33,23746,10203,2013-02-7
34,13756,10203,2013-04-5
35,3569,10203,2013-09-4
36,25125,10203,2012-10-18
37,12487,10203,2014-06-15
38,26056,10203,2013-01-29
39,20044,925,2011-02-2
40,2607,925,2012-02-2
41,10028,925,2012-07-18
42,3315,925,2013-02-15
43,24126,925,2012-12-8
44,26296,925,2012-12-28
45,25712,925,2013-05-31
46,5722,925,2012-06-15
47,3421,7558,2012-08-6
48,24921,7558,2013-03-7
49,9084,7558,2012-05-22
50,3315,7558,2013-02-15
51,25683,7558,2013-07-12
52,15165,7558,2013-02-19
53,25656,7558,2011-10-21
54,15556,7558,2011-12-9
55,10517,7558,2013-02-20
56,19951,1661,2013-11-11
57,2437,1661,2012-08-25
58,25338,1661,2013-11-20
59,27467,4181,2014-01-10
60,24552,4181,2014-06-12
61,3038,4181,2012-12-13
62,8542,4181,2014-01-2
63,26350,4181,2013-12-10
64,21292,4181,2014-01-30
65,22374,4181,2013-12-13
66,2907,4181,2013-12-11
67,7502,4181,2014-02-25
68,24555,4181,2013-09-20
69,19054,8280,2011-06-30
70,17826,8280,2011-08-29
71,5332,8280,2011-08-19
72,6972,8280,2010-11-26
73,3384,5598,2014-04-12
74,404,5598,2014-01-20
75,22893,5598,2013-08-5
76,24366,5598,2013-08-4
77,607,5598,2013-09-1
78,3119,5598,2013-03-21
79,16567,5598,2014-04-22
80,18641,5598,2013-02-24
81,19243,5598,2013-04-14
82,9042,5598,2013-07-31
83,9017,5598,2012-12-28
84,642,5598,2013-03-3
85,17058,5598,2013-07-31
86,454,5598,2013-03-19
87,22543,5598,2012-05-4
88,10116,5598,2012-12-24
89,7790,5598,2013-03-14
90,7808,5598,2013-04-9
91,6130,5598,2013-10-31
92,20900,5598,2012-09-30
93,15333,5432,2013-10-12
94,2758,5432,2013-07-21
95,18967,5432,2013-07-8
96,11935,5432,2014-03-27
97,21940,5432,2013-04-3
98,16859,5432,2014-07-2
99,4618,5432,2013-12-17
100,9589,5432,2014-04-9
101,12167,5432,2012-12-4
